"","where","cases","deaths","AIANNHCE","AIANNHNS","GEOID","NAMELSAD","ALAND","AWATER","tot_pop","Shape_Length","Shape_Area","deathrate","caserate"
"56","Acoma",NA,NA,10,1934337,"0010R","Acoma Pueblo",1065694864,331928,2784,3.6084554,0.105092493,NA,NA
"57","Adais Caddo",NA,NA,9510,2418753,"9510R","Adais Caddo SDTSA",378869477,4749622,2269,2.415304139,0.036480093,NA,NA
"58","Agua Caliente",NA,NA,20,1934324,"0020R","Agua Caliente Indian Reservation",126539885,749217,26028,3.000390342,0.012391139,NA,NA
"59","Akhiok",NA,NA,6015,2418754,"6015R","Akhiok ANVSA",19166808,5724762,57,0.300431163,0.003672677,NA,NA
"60","Akiachak",NA,NA,6020,2418755,"6020R","Akiachak ANVSA",39933532,2710725,567,0.524932499,0.007050881,NA,NA
"61","Akiak",NA,NA,6025,2418757,"6025R","Akiak ANVSA",2173229,15267,416,0.07542136,0.000361968,NA,NA
"62","Akutan",NA,NA,6030,2418758,"6030R","Akutan ANVSA",3737114,239023,755,0.122577251,0.000546559,NA,NA
"63","Alabama-Coushatta",NA,NA,50,1350923,"0050R","Alabama-Coushatta Reservation",18437650,83761,606,0.248028856,0.001744219,NA,NA
"64","Alakanuk",NA,NA,6035,2418759,"6035R","Alakanuk ANVSA",83395368,24862278,837,0.701341693,0.018967213,NA,NA
"65","Alatna",NA,NA,6040,2418760,"6040R","Alatna ANVSA",46583723,1139845,4,0.554279556,0.009638465,NA,NA
"66","Aleknagik",NA,NA,6045,2418763,"6045R","Aleknagik ANVSA",33326827,17639044,204,0.464365957,0.008025422,NA,NA
"67","Algaaciq",NA,NA,6065,2418765,"6065R","Algaaciq ANVSA",5565945,670705,527,0.16627297,0.001070225,NA,NA
"68","Allakaket",NA,NA,6070,2418766,"6070R","Allakaket ANVSA",22544588,1058889,170,0.46824091,0.004762996,NA,NA
"69","Allegany",NA,NA,80,978667,"0080R","Allegany Reservation",105881140,19755258,6127,1.223351327,0.013673903,NA,NA
"70","Alturas",NA,NA,95,218194,"0095R","Alturas Indian Rancheria",100606,0,0,0.013837466,1.08452e-05,NA,NA
"71","Ambler",NA,NA,6075,2418768,"6075R","Ambler ANVSA",26621407,4063404,299,0.406767279,0.006330734,NA,NA
"72","Anahola (Agricultural)",NA,NA,5003,2634609,"5003T","Anahola (Agricultural) Hawaiian Home Land",2076473,5227,200,0.148206714,0.000182244,NA,NA
"73","Anahola (Residential)",NA,NA,5004,2634610,"5004T","Anahola (Residential) Hawaiian Home Land",14577614,73631,1670,0.317857231,0.001282548,NA,NA
"74","Anaktuvuk Pass",NA,NA,6080,2418769,"6080R","Anaktuvuk Pass ANVSA",13407366,139518,265,0.267297565,0.002923326,NA,NA
"75","Andreafsky",NA,NA,6095,2418771,"6095R","Andreafsky ANVSA",66905507,6000827,113,0.97078113,0.01251119,NA,NA
"76","Angoon",NA,NA,6100,2418772,"6100R","Angoon ANVSA",66031963,34900200,523,0.936388234,0.015097205,NA,NA
"77","Aniak",NA,NA,6105,2418773,"6105R","Aniak ANVSA",29951934,5929577,525,0.595639631,0.006059297,NA,NA
"78","Annette Island",NA,NA,110,1934114,"0110R","Annette Island Reserve",343944587,333894108,1635,1.347795706,0.095451958,NA,NA
"79","Anvik",NA,NA,6125,2418774,"6125R","Anvik ANVSA",24578643,6308736,104,0.331161243,0.00540507,NA,NA
"80","Apache Choctaw",NA,NA,9515,2418775,"9515R","Apache Choctaw SDTSA",221750898,2632989,6903,2.467213259,0.021330346,NA,NA
"81","Arctic Village",NA,NA,6140,2418776,"6140R","Arctic Village ANVSA",30562618,9436650,153,0.869175443,0.008610484,NA,NA
"82","Aroostook Band of Micmac",NA,NA,115,2562463,"0115T","Aroostook Band of Micmac Trust Land",4235781,0,250,0.253474721,0.000499707,NA,NA
"83","Atka",NA,NA,6150,2418779,"6150R","Atka ANVSA",20650665,168,35,0.374744714,0.002716173,NA,NA
"84","Atmautluak",NA,NA,6160,2418780,"6160R","Atmautluak ANVSA",1565431,1164413,209,0.193444565,0.000450826,NA,NA
"85","Atqasuk",NA,NA,6165,2418782,"6165R","Atqasuk ANVSA",101319315,9365008,164,0.790277564,0.026596824,NA,NA
"86","Auburn",NA,NA,120,218454,"0120R","Auburn Rancheria",279781,0,0,0.027184187,2.9028e-05,NA,NA
"87","Augustine",NA,NA,125,238830,"0125R","Augustine Reservation",2271942,0,0,0.063688117,0.000220817,NA,NA
"88","Bad River",NA,NA,140,1577209,"0140R","Bad River Reservation",499244305,9998339,1595,1.258716754,0.059713106,NA,NA
"89","Barona",NA,NA,155,255962,"0155R","Barona Reservation",23797857,0,876,0.370294326,0.002294982,NA,NA
"90","Barrow",NA,NA,6175,2418784,"6175R","Barrow ANVSA",48614921,7013815,4408,0.706053862,0.013907804,NA,NA
"91","Battle Mountain",NA,NA,165,838653,"0165R","Battle Mountain Reservation",2727590,0,407,0.14473276,0.000290452,NA,NA
"92","Bay Mills",NA,NA,170,1622234,"0170R","Bay Mills Reservation",14165866,291386,1263,0.511271298,0.00169208,NA,NA
"93","Beaver",NA,NA,6190,2418786,"6190R","Beaver ANVSA",53142252,1362789,46,0.711230591,0.010929201,NA,NA
"94","Beaver Creek",NA,NA,9525,2564992,"9525R","Beaver Creek SDTSA",64936541,265588,1005,0.348296055,0.00632852,NA,NA
"95","Belkofski",NA,NA,6195,2418788,"6195R","Belkofski ANVSA",6911440,2007141,0,0.169855464,0.001254636,NA,NA
"96","Benton Paiute",NA,NA,185,2419307,"0185R","Benton Paiute Reservation",625276,0,109,0.032343872,6.39598e-05,NA,NA
"97","Berry Creek",NA,NA,200,256849,"0200R","Berry Creek Rancheria",155925,0,259,0.016346462,1.6357e-05,NA,NA
"98","Bethel",NA,NA,6205,2418790,"6205R","Bethel ANVSA",115273171,14508927,6424,0.671112028,0.02138524,NA,NA
"99","Big Bend",NA,NA,215,256889,"0215R","Big Bend Rancheria",182728,0,0,0.017829174,1.95645e-05,NA,NA
"100","Big Cypress",NA,NA,225,1934321,"0225R","Big Cypress Reservation",213060639,262023,571,0.859946275,0.019279852,NA,NA
"101","Big Lagoon",NA,NA,240,219211,"0240R","Big Lagoon Rancheria",21072,0,4,0.007206907,2.26085e-06,NA,NA
"102","Big Pine",NA,NA,250,256983,"0250R","Big Pine Reservation",1120996,0,422,0.055191311,0.000113715,NA,NA
"103","Big Sandy",NA,NA,265,1667416,"0265R","Big Sandy Rancheria",1064142,0,148,0.058558447,0.000107841,NA,NA
"104","Big Valley",NA,NA,275,219277,"0275R","Big Valley Rancheria",482651,0,195,0.032803243,5.02021e-05,NA,NA
"105","Bill Moore's",NA,NA,6225,2418793,"6225R","Bill Moore's ANVSA",6325331,0,0,0.246776156,0.001117758,NA,NA
"106","Birch Creek",NA,NA,6235,2418794,"6235R","Birch Creek ANVSA",20900149,545229,2,0.417918615,0.004280453,NA,NA
"107","Blue Lake",NA,NA,325,2419316,"0325R","Blue Lake Rancheria",136714,0,72,0.019511972,1.46065e-05,NA,NA
"108","Bois Forte",NA,NA,335,2105053,"0335R","Bois Forte Reservation",517127936,31548529,1383,1.595893047,0.066187688,NA,NA
"109","Brevig Mission",NA,NA,6240,2418796,"6240R","Brevig Mission ANVSA",6299191,206572,407,0.177064004,0.001252819,NA,NA
"110","Bridgeport",NA,NA,350,2419320,"0350R","Bridgeport Reservation",175286,0,62,0.017039615,1.80443e-05,NA,NA
"111","Brighton",NA,NA,360,300151,"0360R","Brighton Reservation",147956903,58129,661,0.742465675,0.013467937,NA,NA
"112","Buckland",NA,NA,6250,2418797,"6250R","Buckland ANVSA",2205782,385080,608,0.099661098,0.000511279,NA,NA
"113","Burns Paiute",NA,NA,400,1118340,"0400R","Burns Paiute Indian Colony",3304477,0,96,0.112433366,0.00036837,NA,NA
"114","Cabazon",NA,NA,415,1985192,"0415R","Cabazon Reservation",7719150,0,725,0.232205721,0.000750385,NA,NA
"115","Caddo-Wichita-Delaware",NA,NA,5540,1925075,"5540R","Caddo-Wichita-Delaware OTSA",2658850899,29493649,15327,3.416253134,0.266470517,NA,NA
"116","Cahuilla",NA,NA,435,270144,"0435R","Cahuilla Reservation",74936002,0,82,0.479211143,0.007272548,NA,NA
"117","Campbell",NA,NA,440,848690,"0440R","Campbell Ranch",6708986,0,461,0.165099409,0.000698386,NA,NA
"118","Campo",NA,NA,450,270242,"0450R","Campo Indian Reservation",66733613,0,393,0.639191132,0.006415571,NA,NA
"119","Cantwell",NA,NA,6255,2418800,"6255R","Cantwell ANVSA",261826375,150364,183,1.490383655,0.046999866,NA,NA
"120","Canyon Village",NA,NA,6257,2575178,"6257R","Canyon Village ANVSA",79690839,8157677,0,1.426187675,0.018189573,NA,NA
"121","Capitan Grande",NA,NA,495,240225,"0495R","Capitan Grande Reservation",64429182,832,0,0.919858098,0.006210636,NA,NA
"122","Carson",NA,NA,510,859157,"0510R","Carson Colony",730858,0,275,0.034994616,7.61454e-05,NA,NA
"123","Catawba",NA,NA,525,1233634,"0525R","Catawba Reservation",4082164,0,1247,0.142741041,0.000402665,NA,NA
"124","Cattaraugus",NA,NA,540,978804,"0540R","Cattaraugus Reservation",86904287,2226868,2208,0.616062483,0.009767331,NA,NA
"125","Cayuga Nation",NA,NA,8100,2418802,"8100R","Cayuga Nation TDSA",98026627,92235454,3081,2.916338123,0.020933556,NA,NA
"126","Cedarville",NA,NA,555,220808,"0555R","Cedarville Rancheria",94077,0,28,0.014659326,1.01489e-05,NA,NA
"127","Celilo",NA,NA,560,2419333,"0560T","Celilo Village",460479,0,61,0.048909126,5.31476e-05,NA,NA
"128","Chalkyitsik",NA,NA,6265,2418804,"6265R","Chalkyitsik ANVSA",22022281,667826,115,0.448791253,0.004598,NA,NA
"129","Chefornak",NA,NA,6275,2418807,"6275R","Chefornak ANVSA",13560879,1951696,501,0.231335106,0.002507075,NA,NA
"130","Chehalis",NA,NA,575,1503930,"0575R","Chehalis Reservation",17634122,631336,922,0.339517298,0.002153022,NA,NA
"131","Chemehuevi",NA,NA,585,255956,"0585R","Chemehuevi Reservation",124704705,0,352,1.454355769,0.012235403,NA,NA
"132","Chenega",NA,NA,6280,2418808,"6280R","Chenega ANVSA",75848955,716582,48,1.33418684,0.012343875,NA,NA
"133","Cher-O-Creek",NA,NA,9550,2418812,"9550R","Cher-O-Creek SDTSA",834648853,2872994,86566,1.631668835,0.079229933,NA,NA
"134","Cherokee Tribe of Northeast Alabama",NA,NA,9560,2418811,"9560R","Cherokee Tribe of Northeast Alabama SDTSA",88056048,376168,14453,1.011029025,0.00865926,NA,NA
"135","Chevak",NA,NA,6285,2418813,"6285R","Chevak ANVSA",2961589,0,1144,0.107074692,0.000499509,NA,NA
"136","Cheyenne River",NA,NA,605,1267254,"0605R","Cheyenne River Reservation",11030954115,393802906,8556,5.683590524,1.305599515,NA,NA
"137","Cheyenne-Arapaho",NA,NA,5560,2418814,"5560R","Cheyenne-Arapaho OTSA",21022272116,153975154,187338,8.043302498,2.108531158,NA,NA
"138","Chickahominy",NA,NA,9580,2418815,"9580R","Chickahominy SDTSA",134292953,64589,3601,0.604920932,0.013672121,NA,NA
"139","Chickaloon",NA,NA,6290,2418816,"6290R","Chickaloon ANVSA",15428847038,157940404,27331,8.912279699,2.690826633,NA,NA
"140","Chickasaw",NA,NA,5580,2418818,"5580R","Chickasaw OTSA",18831209094,486748207,312615,9.540548263,1.895583399,NA,NA
"141","Chicken Ranch",NA,NA,620,2419337,"0620R","Chicken Ranch Rancheria",28868,0,0,0.011380952,2.95823e-06,NA,NA
"142","Chignik",NA,NA,6295,2418820,"6295R","Chignik ANVSA",28352067,12704462,61,0.340399208,0.005956334,NA,NA
"143","Chignik Lagoon",NA,NA,6300,2418821,"6300R","Chignik Lagoon ANVSA",34319191,0,75,0.3868642,0.00497915,NA,NA
"144","Chignik Lake",NA,NA,6305,2418823,"6305R","Chignik Lake ANVSA",40605810,9482720,51,0.517850581,0.007257616,NA,NA
"145","Chilkat",NA,NA,6310,2418825,"6310R","Chilkat ANVSA",3948242,1361999,49,0.182109781,0.000839097,NA,NA
"146","Chilkoot",NA,NA,6315,2418826,"6315R","Chilkoot ANVSA",1223953,0,453,0.068138032,0.000192417,NA,NA
"147","Chistochina",NA,NA,6325,2418829,"6325R","Chistochina ANVSA",69332417,63188,85,0.891599052,0.012124985,NA,NA
"148","Chitimacha",NA,NA,635,2419340,"0635R","Chitimacha Reservation",1819459,0,601,0.115081477,0.000169906,NA,NA
"149","Chitina",NA,NA,6330,2418831,"6330R","Chitina ANVSA",308832263,476310,73,1.266613011,0.052144291,NA,NA
"150","Chuathbaluk",NA,NA,6335,2418834,"6335R","Chuathbaluk ANVSA",11576099,4543934,124,0.305620045,0.002722699,NA,NA
"151","Chuloonawick",NA,NA,6340,2418835,"6340R","Chuloonawick ANVSA",92519994,26596223,0,0.766898358,0.021053837,NA,NA
"152","Circle",NA,NA,6350,2418836,"6350R","Circle ANVSA",274634016,1398608,74,1.784239341,0.054085369,NA,NA
"153","Citizen Potawatomi Nation-Absentee Shawnee",NA,NA,5600,1925074,"5600R","Citizen Potawatomi Nation-Absentee Shawnee OTSA",2892284570,44399873,124874,3.50236348,0.290660595,NA,NA
"154","Clarks Point",NA,NA,6360,2418839,"6360R","Clarks Point ANVSA",8609626,2033385,48,0.186059348,0.001654389,NA,NA
"155","Clifton Choctaw",NA,NA,9630,2418840,"9630R","Clifton Choctaw SDTSA",126404451,268159,476,0.758777923,0.011999896,NA,NA
"156","Cochiti",NA,NA,680,937176,"0680R","Pueblo de Cochiti",207828421,4836770,1661,0.645577677,0.02115654,NA,NA
"157","Coconut Creek",NA,NA,690,2418876,"0690T","Coconut Creek Trust Land",24456,1388,0,0.006188775,2.33542e-06,NA,NA
"158","Cocopah",NA,NA,695,3089,"0695R","Cocopah Reservation",25889883,77685,1203,0.574950004,0.002494752,NA,NA
"159","Coeur d'Alene",NA,NA,705,395231,"0705R","Coeur d'Alene Reservation",1356759395,32638324,7805,2.191755236,0.165255332,NA,NA
"160","Coharie",NA,NA,9635,2418841,"9635R","Coharie SDTSA",625149062,7950709,62167,4.020417691,0.062674363,NA,NA
"161","Cold Springs",NA,NA,720,276284,"0720R","Cold Springs Rancheria",416760,0,134,0.037497397,4.21735e-05,NA,NA
"162","Colorado River",NA,NA,735,22753,"0735R","Colorado River Indian Reservation",1184890271,17238466,9929,1.862978855,0.117217957,NA,NA
"163","Colusa",NA,NA,750,2418877,"0750R","Colusa Rancheria",1028551,0,27,0.055977767,0.000107332,NA,NA
"164","Coos, Lower Umpqua, and Siuslaw",NA,NA,770,2418879,"0770R","Coos, Lower Umpqua, and Siuslaw Reservation",82966,2912,100,0.02228452,9.491e-06,NA,NA
"165","Copper Center",NA,NA,6365,2418846,"6365R","Copper Center ANVSA",39000396,26445,419,0.504257472,0.006681126,NA,NA
"166","Coquille",NA,NA,775,2418881,"0775R","Coquille Reservation",26108640,102615,453,1.006810086,0.002897498,NA,NA
"167","Cortina",NA,NA,780,221603,"0780R","Cortina Indian Rancheria",3077766,0,31,0.072177315,0.000320122,NA,NA
"168","Council",NA,NA,6380,2418849,"6380R","Council ANVSA",55014132,2345327,0,0.736121525,0.010864316,NA,NA
"169","Coushatta",NA,NA,795,545438,"0795R","Coushatta Reservation",2983359,0,113,0.204864377,0.000280408,NA,NA
"170","Cow Creek",NA,NA,815,2418898,"0815R","Cow Creek Reservation",14729901,0,182,0.735454921,0.001627737,NA,NA
"171","Cowlitz",NA,NA,820,2772245,"0820R","Cowlitz Reservation",670606,0,0,0.048820057,7.76806e-05,NA,NA
"172","Coyote Valley",NA,NA,825,1985199,"0825R","Coyote Valley Reservation",347178,0,300,0.036393725,3.62292e-05,NA,NA
"173","Craig",NA,NA,6385,2418851,"6385R","Craig ANVSA",36262117,7300139,1613,0.822670565,0.006186774,NA,NA
"174","Creek",NA,NA,5620,1925077,"5620R","Creek OTSA",11987156897,407104884,792241,5.931699529,1.233655454,NA,NA
"175","Creek/Seminole",NA,NA,5915,1925072,"5915R","Creek/Seminole joint-use OTSA",168887256,824713,2065,0.808923585,0.016815583,NA,NA
"176","Crooked Creek",NA,NA,6390,2418852,"6390R","Crooked Creek ANVSA",258527796,19606827,90,1.110884442,0.047387234,NA,NA
"177","Crow",NA,NA,845,806896,"0845R","Crow Reservation",9232401234,29590354,7184,5.7211192,1.063999443,NA,NA
"178","Crow Creek",NA,NA,855,1267067,"0855R","Crow Creek Reservation",1094324661,100590102,2164,2.596157174,0.134368842,NA,NA
"179","Deering",NA,NA,6400,2418551,"6400R","Deering ANVSA",12991931,189707,154,0.296691998,0.002611241,NA,NA
"180","Dillingham",NA,NA,6405,2418554,"6405R","Dillingham ANVSA",183720599,7184748,2315,1.00294276,0.029912122,NA,NA
"181","Dot Lake",NA,NA,6415,2418555,"6415R","Dot Lake ANVSA",11052892,0,38,0.241275283,0.00200232,NA,NA
"182","Douglas",NA,NA,6420,2418558,"6420R","Douglas ANVSA",198334637,102630,6134,1.128078877,0.030356076,NA,NA
"183","Dresslerville",NA,NA,940,862214,"0940R","Dresslerville Colony",3226855,0,452,0.141781771,0.000335049,NA,NA
"184","Dry Creek",NA,NA,955,222639,"0955R","Dry Creek Rancheria",326069,0,0,0.025715199,3.37667e-05,NA,NA
"185","Duck Valley",NA,NA,965,858264,"0965R","Duck Valley Reservation",1166983076,5248490,1351,1.457082126,0.127377458,NA,NA
"186","Duckwater",NA,NA,975,845441,"0975R","Duckwater Reservation",16137153,57666,299,0.382410877,0.001682371,NA,NA
"187","Eagle",NA,NA,6430,2418560,"6430R","Eagle ANVSA",44053518,0,25,0.431422304,0.008296545,NA,NA
"188","East Kapolei",NA,NA,5008,2634611,"5008T","East Kapolei Hawaiian Home Land",857877,0,0,0.074337592,7.46973e-05,NA,NA
"189","Eastern Chickahominy",NA,NA,9675,2418562,"9675R","Eastern Chickahominy SDTSA",5781366,0,251,0.12640426,0.000588596,NA,NA
"190","Eastern Shawnee",NA,NA,5640,2418563,"5640R","Eastern Shawnee OTSA",52696544,992842,874,0.4242446,0.005424542,NA,NA
"191","Echota Cherokee",NA,NA,9680,2418564,"9680R","Echota Cherokee SDTSA",1318517561,7819066,56691,4.02391835,0.130280449,NA,NA
"192","Eek",NA,NA,6440,2418566,"6440R","Eek ANVSA",1677567,242697,518,0.100583079,0.000310909,NA,NA
"193","Egegik",NA,NA,6445,2418567,"6445R","Egegik ANVSA",76536210,98729602,83,0.932255537,0.026770981,NA,NA
"194","Eklutna",NA,NA,6450,2418569,"6450R","Eklutna ANVSA",11685276,10414294,43,0.403921644,0.003720307,NA,NA
"195","Ekuk",NA,NA,6455,2418570,"6455R","Ekuk ANVSA",11150319,0,0,0.185146413,0.001731833,NA,NA
"196","Ekwok",NA,NA,6460,2418571,"6460R","Ekwok ANVSA",43368282,3268374,80,0.343157939,0.007357748,NA,NA
"197","Elim",NA,NA,6470,2575181,"6470R","Elim ANVSA",795682736,22721141,303,2.295124875,0.154144983,NA,NA
"198","Elk Valley",NA,NA,1010,1657318,"1010R","Elk Valley Rancheria",361182,0,78,0.027004495,3.91032e-05,NA,NA
"199","Elko",NA,NA,1005,856239,"1005R","Elko Colony",781013,0,1194,0.064231095,8.34021e-05,NA,NA
"200","Ely",NA,NA,1040,859672,"1040R","Ely Reservation",14660073,0,230,0.427271514,0.001529712,NA,NA
"201","Emmonak",NA,NA,6480,2418573,"6480R","Emmonak ANVSA",12861562,2443486,761,0.24493239,0.002689299,NA,NA
"202","Enterprise",NA,NA,1055,259950,"1055R","Enterprise Rancheria",168285,0,0,0.016954153,1.76375e-05,NA,NA
